NOME,NUM,Latitude,Longitude,SEQ,GRUPO,SENTIDO,TIPO,ID_do_Itinerario,COD
"Estrada Guilherme Weigert, 2 - Santa Candida",120740,-25.370848144184,-49.227934212631,4,,Aliança,Placa em poste,583,232
"Estrada Guilherme Weigert, 438 - Santa Candida",120741,-25.367624389802,-49.226906926579,5,,Aliança,Sem demarcação,583,232
"Rua Nossa Senhora do Rocio, 143 - Santa Candida",120744,-25.363804761405,-49.230235547966,8,,Aliança,Sem demarcação,583,232
"Estrada Guilherme Weigert, 54 - Santa Candida",120443,-25.356805230223,-49.23500470558,13,,Aliança,Placa em poste,583,232
"Rua Teodoro Makiolka, 469 - Santa Candida",120433,-25.372827138295,-49.227507204395,16,,Terminal Santa Cândida,Domus,584,232
"Estrada Guilherme Weigert, 141 - Santa Candida",120434,-25.370756050422,-49.228017361111,15,,Terminal Santa Cândida,Chapéu chinês,584,232
"Estrada Guilherme Weigert, 437 - Santa Candida",120435,-25.367630448761,-49.227039695925,14,,Terminal Santa Cândida,Chapéu chinês,584,232
"Rua Nossa Senhora do Rocio, 1 - Santa Candida",120437,-25.363414551454,-49.228852869219,12,,Terminal Santa Cândida,Chapéu chinês,584,232
"Rua Thereza Lopes Skroski, 212 - Santa Cândida",121001,-25.350774415182,-49.233091771603,2,,Terminal Santa Cândida,Chapéu chinês,584,232
"Rua Padre João Wislinski, 1048  - Santa Candida",120155,-25.37453,-49.22203,18,,Olaria (Circular),Chapéu chinês,585,233
"Rua Padre João Wislinski, 621 - Santa Candida",130557,-25.374863328913,-49.221240845404,2,,Olaria (Circular),Chapéu chinês,585,233
"Estrada das Olarias, 1317 - Atuba - Curitiba - PR",120469,-25.372563941288,-49.21110839633,15,,Olaria (Circular),Domus,585,233
"Rua Máximo João Kop, 510 - Santa Candida",120470,-25.373423941332,-49.21422475215,16,,Olaria (Circular),Domus,585,233
Terminal Santa Cândida - 233 - Olaria,105908,-25.376890496315,-49.223998280917,19,14470,Olaria (Circular),Plataforma,585,233
"Rua Aírton Luciano Franco, 54 - Santa Candida",120464,-25.366256680565,-49.210357550926,10,,Olaria (Circular),Chapéu chinês,585,233
"Rua Antônio Scheidt, 402 - Santa Candida",120467,-25.36962364685,-49.209864139881,13,,Olaria (Circular),Chapéu chinês,585,233
"Estrada Santa Cândida, 116 - Tingui",120457,-25.374518202156,-49.219165743551,3,,Olaria (Circular),Chapéu chinês,585,233
"Estrada Santa Cândida, 953 - Tingui",120460,-25.367955764231,-49.216232449074,6,,Olaria (Circular),Domus,585,233
"Rua Buda, 359 - Santa Candida",120465,-25.367235850487,-49.209974197588,11,,Olaria (Circular),Chapéu chinês,585,233
"Rua Elias Toufic Mansur, 359 - Santa Candida",120466,-25.368045458549,-49.208871457672,12,,Olaria (Circular),Chapéu chinês,585,233
"Estrada Santa Cândida, 1357 - Tingui",120462,-25.364965132773,-49.214167842923,8,,Olaria (Circular),Domus,585,233
"Rua Antônino Teixeira,  3946 - Santa Candida",120463,-25.364472423647,-49.210323411045,9,,Olaria (Circular),Chapéu chinês,585,233
"Estrada Santa Cândida, 303 - Tingui",120458,-25.373099706579,-49.218540379133,4,,Olaria (Circular),Domus,585,233
"Estrada Santa Cândida, 603 - Tingui",120459,-25.37096395319,-49.216915976686,5,,Olaria (Circular),Chapéu chinês,585,233
"Rua Antônio Fernandes Apolinário, 34 - Santa Candida",120468,-25.371485446819,-49.210039154596,14,,Olaria (Circular),Chapéu chinês,585,233
"Estrada Santa Cândida, 1169 - Tingui",130577,-25.366323940975,-49.215845364418,7,,Olaria (Circular),Chapéu chinês,585,233
"Rua Máximo João Kop, 203 - Santa Candida",120471,-25.374647869597,-49.216644635582,17,,Olaria (Circular),Chapéu chinês,585,233
"Estrada Guilherme Weigert, 2 - Santa Candida",120740,-25.370848144184,-49.227934212631,4,,São Benedito,Placa em poste,586,236
"Estrada Guilherme Weigert, 1875 - Santa Candida",120442,-25.357904825116,-49.233505882244,14,,Terminal Sta. Cândida,Domus,1821,236
"Rua Alberto Otto, 821 - Cachoeira",120455,-25.35474261229,-49.247230302447,2,,Terminal Sta. Cândida,Chapéu chinês,1821,236
"Estrada Guilherme Weigert, 2051 - Santa Candida",120749,-25.356864613326,-49.235048962029,13,,Terminal Sta. Cândida,Chapéu chinês,1821,236
"Estrada Guilherme Weigert, 1700 - Santa Candida",120747,-25.359692946904,-49.231614065309,11,,São Benedito,Placa em cano,586,236
"Rua Alberto Otto, 881 - Cachoeira",121009,-25.354945912332,-49.247320890427,25,,São Benedito,Placa em cano,586,236
"Rua Teodoro Makiolka, 2953 - Santa Candida",120450,-25.36052518977,-49.247375091649,7,,Terminal Sta. Cândida,Domus,1821,236
